interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
85-32-09-34	935a843900304769947d3a21c5babcad	2022-06-17	16:01:20	12	ENT_mnunez	1	ENT_mnunez	1
85-32-09-34	935a843900304769947d3a21c5babcad	2022-06-17	16:01:20	0	ENT_mnunez	1	SUP_Pabla	2
85-32-09-34	935a843900304769947d3a21c5babcad	2022-06-17	16:01:20	20	ENT_mnunez	1	ENT_mnunez	1
85-32-09-34	935a843900304769947d3a21c5babcad	2022-06-17	16:01:20	1	ENT_mnunez	1	ENT_mnunez	1
85-32-09-34	935a843900304769947d3a21c5babcad	2022-06-17	16:01:20	2	ENT_mnunez	1	ENT_mnunez	1
85-32-09-34	935a843900304769947d3a21c5babcad	2022-06-17	16:02:38	3	ENT_mnunez	1	SUP_Pabla	2
00-09-94-04	ea8dcda300894b7e952607caff852626	2022-06-17	16:00:55	12	ENT_mnunez	1	ENT_mnunez	1
00-09-94-04	ea8dcda300894b7e952607caff852626	2022-06-17	16:00:55	0	ENT_mnunez	1	SUP_Pabla	2
00-09-94-04	ea8dcda300894b7e952607caff852626	2022-06-17	16:00:56	20	ENT_mnunez	1	ENT_mnunez	1
00-09-94-04	ea8dcda300894b7e952607caff852626	2022-06-17	16:00:55	1	ENT_mnunez	1	ENT_mnunez	1
00-09-94-04	ea8dcda300894b7e952607caff852626	2022-06-17	16:00:55	2	ENT_mnunez	1	ENT_mnunez	1
00-09-94-04	ea8dcda300894b7e952607caff852626	2022-06-17	16:01:05	3	ENT_mnunez	1	SUP_Pabla	2
